用户ID,兴趣类别,观看视频数,点赞视频数
4320,"CAT_109, CAT_093, CAT_075, CAT_153, CAT_043, CAT_012",121,44
4321,"CAT_117, CAT_175, CAT_087, CAT_147",116,49
4322,"CAT_065, CAT_077, CAT_208, CAT_095",133,49
4323,"CAT_163, CAT_142, CAT_144, CAT_187, CAT_012",124,50
4324,"CAT_038, CAT_127, CAT_126, CAT_109, CAT_155",125,54
4325,"CAT_066, CAT_213, CAT_042, CAT_137",138,64
4326,"CAT_209, CAT_178, CAT_020, CAT_019, CAT_068",130,52
4327,"CAT_184, CAT_165, CAT_068, CAT_098",133,57
4328,"CAT_119, CAT_179, CAT_168, CAT_100, CAT_056, CAT_132",134,50
4329,"CAT_167, CAT_098, CAT_216, CAT_158, CAT_129, CAT_163",94,43
4330,"CAT_005, CAT_017, CAT_024, CAT_134",141,53
4331,"CAT_102, CAT_154, CAT_149, CAT_040, CAT_164, CAT_122",94,35
4332,"CAT_007, CAT_091, CAT_215, CAT_137, CAT_021",137,63
4333,"CAT_036, CAT_148, CAT_188, CAT_053, CAT_206",85,37
4334,"CAT_096, CAT_198, CAT_110, CAT_132",100,46
4335,"CAT_010, CAT_158, CAT_055, CAT_195, CAT_093",109,40
4336,"CAT_170, CAT_128, CAT_155, CAT_136, CAT_113",120,42
4337,"CAT_187, CAT_174, CAT_181, CAT_035, CAT_089",123,46
4338,"CAT_191, CAT_180, CAT_179, CAT_118",138,49
4339,"CAT_195, CAT_068, CAT_182, CAT_016",114,54
4340,"CAT_067, CAT_124, CAT_219, CAT_078",142,46
4341,"CAT_193, CAT_000, CAT_019, CAT_111",136,48
4342,"CAT_055, CAT_151, CAT_209, CAT_168, CAT_192",118,44
4343,"CAT_172, CAT_153, CAT_179, CAT_099",130,52
4344,"CAT_067, CAT_121, CAT_041, CAT_145, CAT_042, CAT_130",121,51
4345,"CAT_118, CAT_025, CAT_130, CAT_149, CAT_011, CAT_052",113,37
4346,"CAT_006, CAT_031, CAT_089, CAT_017, CAT_121",107,45
4347,"CAT_101, CAT_167, CAT_115, CAT_073",115,40
4348,"CAT_011, CAT_117, CAT_150, CAT_014, CAT_023, CAT_007",91,33
4349,"CAT_218, CAT_037, CAT_196, CAT_187, CAT_132, CAT_031",137,53
4350,"CAT_082, CAT_142, CAT_055, CAT_210, CAT_135, CAT_195",97,44
4351,"CAT_163, CAT_157, CAT_189, CAT_128, CAT_181",140,44
4352,"CAT_004, CAT_075, CAT_157, CAT_065",117,28
4353,"CAT_123, CAT_170, CAT_166, CAT_179, CAT_195, CAT_205",105,40
4354,"CAT_008, CAT_064, CAT_100, CAT_184, CAT_044",112,49
4355,"CAT_025, CAT_198, CAT_028, CAT_092, CAT_140, CAT_088",101,36
4356,"CAT_047, CAT_026, CAT_122, CAT_114, CAT_113, CAT_052",115,46
4357,"CAT_141, CAT_219, CAT_173, CAT_215",140,58
4358,"CAT_191, CAT_123, CAT_115, CAT_135, CAT_070",118,52
4359,"CAT_030, CAT_196, CAT_137, CAT_053, CAT_060",130,54
4360,"CAT_099, CAT_049, CAT_170, CAT_106, CAT_193, CAT_217",109,49
4361,"CAT_184, CAT_110, CAT_103, CAT_166, CAT_104",116,44
4362,"CAT_076, CAT_023, CAT_137, CAT_084, CAT_003, CAT_218",109,40
4363,"CAT_055, CAT_121, CAT_113, CAT_072",118,56
4364,"CAT_138, CAT_199, CAT_141, CAT_092",95,43
4365,"CAT_144, CAT_206, CAT_009, CAT_171, CAT_207, CAT_110",105,43
4366,"CAT_113, CAT_109, CAT_132, CAT_218, CAT_186",103,41
4367,"CAT_149, CAT_209, CAT_207, CAT_182, CAT_220",135,50
4368,"CAT_092, CAT_042, CAT_121, CAT_131, CAT_142, CAT_022",135,51
4369,"CAT_045, CAT_195, CAT_089, CAT_136, CAT_119",116,45
4370,"CAT_074, CAT_066, CAT_054, CAT_055, CAT_021",125,47
4371,"CAT_138, CAT_022, CAT_058, CAT_153, CAT_195",103,47
4372,"CAT_038, CAT_047, CAT_037, CAT_001, CAT_167, CAT_197",135,53
4373,"CAT_212, CAT_047, CAT_144, CAT_045, CAT_206, CAT_093",123,50
4374,"CAT_205, CAT_193, CAT_009, CAT_019, CAT_195, CAT_018",112,49
4375,"CAT_102, CAT_000, CAT_084, CAT_054, CAT_048, CAT_059",101,48
4376,"CAT_004, CAT_181, CAT_097, CAT_049, CAT_128, CAT_091",144,64
4377,"CAT_030, CAT_212, CAT_062, CAT_029, CAT_188, CAT_191",116,43
4378,"CAT_157, CAT_000, CAT_215, CAT_075, CAT_058",95,36
4379,"CAT_102, CAT_185, CAT_160, CAT_036, CAT_019, CAT_163",123,54
4380,"CAT_144, CAT_080, CAT_146, CAT_038",143,54
4381,"CAT_142, CAT_189, CAT_114, CAT_156",111,42
4382,"CAT_089, CAT_116, CAT_135, CAT_102",142,56
4383,"CAT_077, CAT_093, CAT_066, CAT_199, CAT_122",119,43
4384,"CAT_091, CAT_115, CAT_026, CAT_122, CAT_126",127,46
4385,"CAT_127, CAT_002, CAT_050, CAT_019, CAT_161, CAT_061",138,68
4386,"CAT_173, CAT_107, CAT_144, CAT_214",126,54
4387,"CAT_013, CAT_037, CAT_197, CAT_083, CAT_039",138,66
4388,"CAT_150, CAT_068, CAT_092, CAT_075, CAT_069, CAT_144",135,57
4389,"CAT_205, CAT_087, CAT_020, CAT_175, CAT_104",118,49
4390,"CAT_006, CAT_076, CAT_011, CAT_122",139,51
4391,"CAT_107, CAT_000, CAT_105, CAT_175",125,37
4392,"CAT_208, CAT_159, CAT_043, CAT_059, CAT_035, CAT_199",96,33
4393,"CAT_179, CAT_147, CAT_171, CAT_073, CAT_118, CAT_104",88,37
4394,"CAT_157, CAT_031, CAT_100, CAT_211, CAT_032",101,47
4395,"CAT_124, CAT_204, CAT_102, CAT_017, CAT_092",100,45
4396,"CAT_149, CAT_183, CAT_162, CAT_087, CAT_196, CAT_213",128,43
4397,"CAT_050, CAT_045, CAT_166, CAT_199, CAT_171",99,40
4398,"CAT_054, CAT_079, CAT_148, CAT_058",124,56
4399,"CAT_032, CAT_061, CAT_155, CAT_191, CAT_073, CAT_153",102,39
4400,"CAT_116, CAT_085, CAT_167, CAT_137",102,41
4401,"CAT_136, CAT_127, CAT_109, CAT_184, CAT_129",121,56
4402,"CAT_133, CAT_055, CAT_047, CAT_176",149,67
4403,"CAT_203, CAT_093, CAT_196, CAT_109, CAT_085, CAT_222",114,50
4404,"CAT_021, CAT_150, CAT_203, CAT_166, CAT_017",128,53
4405,"CAT_139, CAT_129, CAT_165, CAT_189, CAT_054",94,35
4406,"CAT_122, CAT_005, CAT_185, CAT_034, CAT_033",119,48
4407,"CAT_025, CAT_098, CAT_208, CAT_059, CAT_138, CAT_170",124,41
4408,"CAT_160, CAT_032, CAT_011, CAT_048, CAT_198",152,64
4409,"CAT_052, CAT_188, CAT_021, CAT_170",146,55
4410,"CAT_214, CAT_200, CAT_021, CAT_105",137,58
4411,"CAT_141, CAT_053, CAT_114, CAT_023, CAT_021",131,45
4412,"CAT_143, CAT_031, CAT_191, CAT_102",144,52
4413,"CAT_025, CAT_141, CAT_037, CAT_220, CAT_158, CAT_149",108,51
4414,"CAT_061, CAT_045, CAT_086, CAT_069, CAT_102, CAT_139",122,66
4415,"CAT_010, CAT_150, CAT_135, CAT_051, CAT_204",106,45
4416,"CAT_208, CAT_137, CAT_020, CAT_004",126,58
4417,"CAT_188, CAT_199, CAT_121, CAT_056, CAT_147, CAT_128",112,56
4418,"CAT_044, CAT_014, CAT_205, CAT_126, CAT_025, CAT_153",97,46
4419,"CAT_155, CAT_037, CAT_078, CAT_140, CAT_189",116,43
4420,"CAT_051, CAT_168, CAT_109, CAT_004, CAT_047",111,39
4421,"CAT_111, CAT_158, CAT_005, CAT_036",123,46
4422,"CAT_090, CAT_154, CAT_127, CAT_204, CAT_125, CAT_047",112,44
4423,"CAT_174, CAT_094, CAT_165, CAT_129, CAT_126, CAT_081",138,49
4424,"CAT_079, CAT_080, CAT_091, CAT_049, CAT_032, CAT_201",102,48
4425,"CAT_051, CAT_014, CAT_036, CAT_086, CAT_144",142,55
4426,"CAT_084, CAT_092, CAT_202, CAT_005, CAT_173, CAT_169",111,44
4427,"CAT_162, CAT_016, CAT_117, CAT_181, CAT_018",119,57
4428,"CAT_210, CAT_032, CAT_088, CAT_216, CAT_162",100,39
4429,"CAT_083, CAT_097, CAT_143, CAT_066, CAT_056, CAT_123",102,38
4430,"CAT_033, CAT_137, CAT_179, CAT_101",114,47
4431,"CAT_188, CAT_027, CAT_177, CAT_135, CAT_169",127,56
4432,"CAT_051, CAT_135, CAT_100, CAT_171, CAT_208, CAT_108",147,59
4433,"CAT_092, CAT_111, CAT_115, CAT_007, CAT_119",139,60
4434,"CAT_154, CAT_029, CAT_187, CAT_066, CAT_111",125,47
4435,"CAT_004, CAT_109, CAT_043, CAT_145, CAT_081",134,53
4436,"CAT_202, CAT_025, CAT_189, CAT_153",118,45
4437,"CAT_195, CAT_176, CAT_137, CAT_029, CAT_039, CAT_076",140,56
4438,"CAT_073, CAT_053, CAT_107, CAT_135, CAT_146",110,34
4439,"CAT_188, CAT_201, CAT_187, CAT_047, CAT_133, CAT_030",140,54
4440,"CAT_207, CAT_185, CAT_166, CAT_186",103,40
4441,"CAT_032, CAT_163, CAT_171, CAT_039, CAT_078, CAT_190",121,42
4442,"CAT_151, CAT_057, CAT_204, CAT_072, CAT_004",126,60
4443,"CAT_048, CAT_024, CAT_122, CAT_075, CAT_184, CAT_039",151,63
4444,"CAT_182, CAT_140, CAT_139, CAT_178, CAT_116",143,52
4445,"CAT_217, CAT_037, CAT_167, CAT_025, CAT_124, CAT_018",138,69
4446,"CAT_118, CAT_023, CAT_075, CAT_010, CAT_188, CAT_059",121,41
4447,"CAT_128, CAT_104, CAT_220, CAT_174, CAT_148, CAT_134",124,47
4448,"CAT_140, CAT_038, CAT_066, CAT_210, CAT_192",112,49
4449,"CAT_125, CAT_167, CAT_217, CAT_222, CAT_147",124,48
4450,"CAT_138, CAT_157, CAT_131, CAT_088, CAT_014",113,37
4451,"CAT_061, CAT_064, CAT_169, CAT_008, CAT_090, CAT_048",114,54
4452,"CAT_141, CAT_071, CAT_091, CAT_035",90,39
4453,"CAT_159, CAT_138, CAT_071, CAT_190",139,57
4454,"CAT_178, CAT_050, CAT_129, CAT_029, CAT_018",113,48
4455,"CAT_062, CAT_196, CAT_047, CAT_066, CAT_139, CAT_049",93,39
4456,"CAT_122, CAT_091, CAT_035, CAT_028, CAT_175, CAT_073",101,39
4457,"CAT_022, CAT_011, CAT_036, CAT_215",128,50
4458,"CAT_094, CAT_057, CAT_075, CAT_156, CAT_146, CAT_210",142,58
4459,"CAT_065, CAT_124, CAT_069, CAT_138, CAT_096",123,52
4460,"CAT_060, CAT_053, CAT_160, CAT_207, CAT_072, CAT_116",122,57
4461,"CAT_095, CAT_112, CAT_047, CAT_198",90,35
4462,"CAT_171, CAT_073, CAT_115, CAT_184",91,40
4463,"CAT_001, CAT_050, CAT_162, CAT_209, CAT_109, CAT_009",93,38
4464,"CAT_059, CAT_032, CAT_153, CAT_084, CAT_145",122,57
4465,"CAT_104, CAT_083, CAT_169, CAT_220",144,65
4466,"CAT_130, CAT_158, CAT_044, CAT_037, CAT_113",129,50
4467,"CAT_025, CAT_204, CAT_089, CAT_213, CAT_208, CAT_065",139,67
4468,"CAT_064, CAT_062, CAT_111, CAT_126, CAT_104",132,49
4469,"CAT_014, CAT_111, CAT_203, CAT_222",117,46
4470,"CAT_055, CAT_081, CAT_075, CAT_168, CAT_104, CAT_051",127,51
4471,"CAT_198, CAT_154, CAT_078, CAT_182",110,42
4472,"CAT_153, CAT_051, CAT_003, CAT_011",92,33
4473,"CAT_185, CAT_047, CAT_006, CAT_159, CAT_102",108,42
4474,"CAT_051, CAT_024, CAT_163, CAT_103, CAT_038",118,47
4475,"CAT_140, CAT_183, CAT_113, CAT_031, CAT_090",143,52
4476,"CAT_165, CAT_007, CAT_001, CAT_016, CAT_025",121,53
4477,"CAT_135, CAT_182, CAT_195, CAT_027, CAT_110",103,47
4478,"CAT_184, CAT_028, CAT_161, CAT_099, CAT_193, CAT_126",103,36
4479,"CAT_103, CAT_104, CAT_170, CAT_107",134,46
4480,"CAT_122, CAT_022, CAT_209, CAT_062",130,63
4481,"CAT_014, CAT_179, CAT_080, CAT_111, CAT_099, CAT_072",133,55
4482,"CAT_061, CAT_207, CAT_140, CAT_121",104,28
4483,"CAT_007, CAT_171, CAT_210, CAT_172, CAT_140",100,37
4484,"CAT_191, CAT_097, CAT_129, CAT_192, CAT_183, CAT_098",147,56
4485,"CAT_123, CAT_135, CAT_184, CAT_206",101,38
4486,"CAT_133, CAT_147, CAT_130, CAT_039, CAT_094",131,58
4487,"CAT_132, CAT_035, CAT_143, CAT_021",99,44
4488,"CAT_084, CAT_148, CAT_116, CAT_008, CAT_155, CAT_015",88,36
4489,"CAT_027, CAT_186, CAT_125, CAT_121, CAT_152, CAT_196",155,62
4490,"CAT_073, CAT_007, CAT_148, CAT_102",130,52
4491,"CAT_129, CAT_206, CAT_011, CAT_084, CAT_209",120,43
4492,"CAT_182, CAT_126, CAT_020, CAT_014, CAT_161",143,60
4493,"CAT_163, CAT_021, CAT_175, CAT_101",96,29
4494,"CAT_148, CAT_186, CAT_032, CAT_011, CAT_008, CAT_109",114,51
4495,"CAT_164, CAT_036, CAT_082, CAT_039",105,43
4496,"CAT_009, CAT_179, CAT_157, CAT_216",84,31
4497,"CAT_206, CAT_143, CAT_049, CAT_186, CAT_086, CAT_081",114,48
4498,"CAT_064, CAT_052, CAT_006, CAT_075, CAT_030",112,41
4499,"CAT_145, CAT_050, CAT_027, CAT_061",109,40
4500,"CAT_015, CAT_116, CAT_211, CAT_047, CAT_014, CAT_099",105,33
4501,"CAT_170, CAT_121, CAT_185, CAT_148, CAT_211, CAT_022",136,49
4502,"CAT_030, CAT_029, CAT_160, CAT_216, CAT_015, CAT_057",103,42
4503,"CAT_148, CAT_011, CAT_102, CAT_208",116,47
4504,"CAT_174, CAT_027, CAT_022, CAT_193, CAT_132, CAT_187",109,50
4505,"CAT_115, CAT_054, CAT_072, CAT_110, CAT_028, CAT_018",104,44
4506,"CAT_043, CAT_150, CAT_105, CAT_133, CAT_025, CAT_038",115,43
4507,"CAT_215, CAT_007, CAT_097, CAT_064, CAT_083, CAT_039",102,39
4508,"CAT_034, CAT_147, CAT_066, CAT_141, CAT_086",106,34
4509,"CAT_077, CAT_188, CAT_042, CAT_085, CAT_183",140,59
4510,"CAT_029, CAT_147, CAT_014, CAT_208, CAT_049",130,37
4511,"CAT_008, CAT_215, CAT_219, CAT_070, CAT_220, CAT_038",137,50
4512,"CAT_064, CAT_009, CAT_139, CAT_155, CAT_205, CAT_177",100,41
4513,"CAT_141, CAT_215, CAT_194, CAT_020, CAT_145, CAT_203",105,45
4514,"CAT_092, CAT_160, CAT_086, CAT_014",128,47
4515,"CAT_197, CAT_010, CAT_025, CAT_167, CAT_044, CAT_083",143,69
4516,"CAT_137, CAT_004, CAT_078, CAT_073, CAT_006, CAT_091",140,44
4517,"CAT_047, CAT_016, CAT_023, CAT_000, CAT_021",122,45
4518,"CAT_027, CAT_161, CAT_085, CAT_068, CAT_165, CAT_090",137,57
4519,"CAT_189, CAT_202, CAT_153, CAT_061",113,50
4520,"CAT_065, CAT_006, CAT_127, CAT_063, CAT_011",102,43
4521,"CAT_056, CAT_165, CAT_136, CAT_159, CAT_209",143,55
4522,"CAT_188, CAT_109, CAT_219, CAT_096, CAT_013",151,59
4523,"CAT_052, CAT_036, CAT_193, CAT_043",149,61
4524,"CAT_023, CAT_214, CAT_217, CAT_068, CAT_061, CAT_093",133,57
4525,"CAT_126, CAT_047, CAT_147, CAT_050, CAT_104, CAT_194",108,41
4526,"CAT_005, CAT_030, CAT_179, CAT_218, CAT_121, CAT_208",116,46
4527,"CAT_093, CAT_144, CAT_215, CAT_173, CAT_122",110,40
4528,"CAT_033, CAT_084, CAT_115, CAT_171",113,40
4529,"CAT_141, CAT_036, CAT_123, CAT_209, CAT_075, CAT_011",112,44
4530,"CAT_137, CAT_192, CAT_172, CAT_052",127,50
4531,"CAT_203, CAT_063, CAT_114, CAT_163, CAT_092",139,46
4532,"CAT_126, CAT_083, CAT_058, CAT_209, CAT_133",133,51
4533,"CAT_204, CAT_133, CAT_157, CAT_197, CAT_201",89,30
4534,"CAT_070, CAT_051, CAT_101, CAT_189",100,32
4535,"CAT_033, CAT_166, CAT_149, CAT_016",100,34
4536,"CAT_153, CAT_021, CAT_126, CAT_218, CAT_026",118,39
4537,"CAT_138, CAT_165, CAT_131, CAT_110, CAT_050",125,62
4538,"CAT_115, CAT_055, CAT_098, CAT_111, CAT_012",140,60
4539,"CAT_146, CAT_040, CAT_067, CAT_079",130,56
4540,"CAT_097, CAT_035, CAT_215, CAT_180",108,44
4541,"CAT_104, CAT_188, CAT_064, CAT_048, CAT_195, CAT_101",116,40
4542,"CAT_201, CAT_128, CAT_006, CAT_186",119,55
4543,"CAT_123, CAT_159, CAT_199, CAT_056",124,47
4544,"CAT_222, CAT_048, CAT_162, CAT_044, CAT_051, CAT_152",128,57
4545,"CAT_076, CAT_135, CAT_017, CAT_167",99,37
4546,"CAT_186, CAT_108, CAT_047, CAT_176, CAT_162",123,52
4547,"CAT_075, CAT_177, CAT_190, CAT_194, CAT_210, CAT_191",139,62
4548,"CAT_132, CAT_071, CAT_061, CAT_157",138,54
4549,"CAT_213, CAT_039, CAT_113, CAT_114, CAT_097, CAT_120",120,42
4550,"CAT_077, CAT_088, CAT_191, CAT_122, CAT_157, CAT_016",130,54
4551,"CAT_189, CAT_144, CAT_124, CAT_195, CAT_135, CAT_152",139,57
4552,"CAT_057, CAT_090, CAT_113, CAT_172",119,42
4553,"CAT_116, CAT_009, CAT_162, CAT_081",126,44
4554,"CAT_023, CAT_046, CAT_117, CAT_171, CAT_219, CAT_131",130,52
4555,"CAT_034, CAT_114, CAT_083, CAT_054, CAT_158, CAT_193",133,55
4556,"CAT_192, CAT_030, CAT_175, CAT_028",116,48
4557,"CAT_127, CAT_124, CAT_160, CAT_131",120,43
4558,"CAT_210, CAT_097, CAT_167, CAT_087, CAT_066",104,46
4559,"CAT_129, CAT_093, CAT_057, CAT_120, CAT_007, CAT_180",128,47
4560,"CAT_171, CAT_130, CAT_221, CAT_033, CAT_061, CAT_106",140,60
4561,"CAT_109, CAT_210, CAT_010, CAT_124, CAT_214",103,39
4562,"CAT_059, CAT_145, CAT_010, CAT_152",91,36
4563,"CAT_069, CAT_039, CAT_212, CAT_159, CAT_049, CAT_096",126,46
4564,"CAT_173, CAT_111, CAT_107, CAT_052",139,57
4565,"CAT_221, CAT_002, CAT_056, CAT_116, CAT_112, CAT_162",104,39
4566,"CAT_003, CAT_050, CAT_064, CAT_015",142,52
4567,"CAT_060, CAT_136, CAT_191, CAT_079",132,59
4568,"CAT_183, CAT_029, CAT_159, CAT_077",90,32
4569,"CAT_078, CAT_072, CAT_143, CAT_180",120,50
4570,"CAT_133, CAT_063, CAT_168, CAT_070",127,47
4571,"CAT_173, CAT_145, CAT_093, CAT_083, CAT_172",139,56
4572,"CAT_071, CAT_221, CAT_154, CAT_060, CAT_069",122,51
4573,"CAT_154, CAT_222, CAT_201, CAT_068, CAT_143, CAT_044",128,42
4574,"CAT_096, CAT_122, CAT_091, CAT_110, CAT_175, CAT_067",118,42
4575,"CAT_040, CAT_163, CAT_214, CAT_129, CAT_032, CAT_034",143,56
4576,"CAT_182, CAT_109, CAT_203, CAT_116",128,56
4577,"CAT_031, CAT_156, CAT_106, CAT_116",103,37
4578,"CAT_058, CAT_215, CAT_125, CAT_218, CAT_205, CAT_090",119,61
4579,"CAT_063, CAT_137, CAT_164, CAT_123, CAT_151",105,38
4580,"CAT_123, CAT_168, CAT_178, CAT_013",123,46
4581,"CAT_109, CAT_049, CAT_070, CAT_200, CAT_120, CAT_214",101,45
4582,"CAT_004, CAT_222, CAT_011, CAT_218, CAT_148, CAT_114",100,39
4583,"CAT_129, CAT_057, CAT_104, CAT_033, CAT_163",115,42
4584,"CAT_022, CAT_141, CAT_104, CAT_099, CAT_036",115,58
4585,"CAT_155, CAT_144, CAT_154, CAT_137",123,60
4586,"CAT_008, CAT_104, CAT_190, CAT_207",127,55
4587,"CAT_033, CAT_200, CAT_165, CAT_104, CAT_119",127,48
4588,"CAT_146, CAT_168, CAT_167, CAT_153",130,54
4589,"CAT_108, CAT_133, CAT_041, CAT_218, CAT_184",97,35
4590,"CAT_121, CAT_192, CAT_028, CAT_049, CAT_048, CAT_090",109,48
4591,"CAT_145, CAT_166, CAT_158, CAT_206",126,47
4592,"CAT_090, CAT_193, CAT_177, CAT_159, CAT_142",113,43
4593,"CAT_121, CAT_114, CAT_120, CAT_037",120,53
4594,"CAT_126, CAT_174, CAT_041, CAT_215, CAT_160",121,53
4595,"CAT_175, CAT_173, CAT_162, CAT_144, CAT_161, CAT_172",88,28
4596,"CAT_053, CAT_215, CAT_205, CAT_037, CAT_112, CAT_183",117,42
4597,"CAT_178, CAT_046, CAT_212, CAT_175, CAT_171, CAT_144",79,36
4598,"CAT_014, CAT_051, CAT_182, CAT_203, CAT_017",122,48
4599,"CAT_059, CAT_043, CAT_207, CAT_103, CAT_204",125,55
4600,"CAT_221, CAT_147, CAT_142, CAT_013, CAT_216, CAT_189",121,50
4601,"CAT_144, CAT_069, CAT_047, CAT_154, CAT_112",152,62
4602,"CAT_219, CAT_111, CAT_083, CAT_180",150,67
4603,"CAT_197, CAT_101, CAT_054, CAT_097, CAT_103, CAT_030",130,48
4604,"CAT_218, CAT_029, CAT_151, CAT_177, CAT_189",129,57
4605,"CAT_177, CAT_000, CAT_215, CAT_189, CAT_222, CAT_209",112,54
4606,"CAT_093, CAT_164, CAT_137, CAT_087, CAT_054, CAT_145",139,50
4607,"CAT_113, CAT_179, CAT_005, CAT_132",114,56
4608,"CAT_090, CAT_010, CAT_112, CAT_031, CAT_149, CAT_019",139,50
4609,"CAT_212, CAT_024, CAT_093, CAT_088, CAT_147",125,52
4610,"CAT_097, CAT_058, CAT_083, CAT_165, CAT_198",92,36
4611,"CAT_154, CAT_052, CAT_179, CAT_025, CAT_026",99,32
4612,"CAT_186, CAT_195, CAT_070, CAT_187",122,42
4613,"CAT_192, CAT_106, CAT_031, CAT_115, CAT_000",112,53
4614,"CAT_087, CAT_150, CAT_200, CAT_073, CAT_035",130,50
4615,"CAT_213, CAT_221, CAT_036, CAT_205",94,38
4616,"CAT_109, CAT_200, CAT_004, CAT_215, CAT_185",130,55
4617,"CAT_127, CAT_144, CAT_191, CAT_169, CAT_157",143,62
4618,"CAT_123, CAT_059, CAT_162, CAT_171, CAT_065, CAT_132",132,49
4619,"CAT_179, CAT_028, CAT_020, CAT_150",130,52
4620,"CAT_199, CAT_068, CAT_100, CAT_161, CAT_030",111,46
4621,"CAT_115, CAT_189, CAT_120, CAT_201",122,57
4622,"CAT_169, CAT_055, CAT_099, CAT_027, CAT_167, CAT_163",149,72
4623,"CAT_159, CAT_136, CAT_003, CAT_015",133,55
4624,"CAT_090, CAT_131, CAT_164, CAT_159, CAT_118",114,48
4625,"CAT_025, CAT_208, CAT_219, CAT_156",138,56
4626,"CAT_073, CAT_211, CAT_014, CAT_036, CAT_168",126,56
4627,"CAT_002, CAT_156, CAT_077, CAT_154, CAT_022",120,50
4628,"CAT_070, CAT_009, CAT_144, CAT_037, CAT_012",129,55
4629,"CAT_122, CAT_048, CAT_056, CAT_018, CAT_080, CAT_217",103,48
4630,"CAT_002, CAT_218, CAT_108, CAT_066, CAT_153, CAT_110",128,54
4631,"CAT_111, CAT_100, CAT_062, CAT_073",123,56
4632,"CAT_138, CAT_016, CAT_075, CAT_023, CAT_101",119,42
4633,"CAT_186, CAT_205, CAT_000, CAT_092, CAT_215",139,57
4634,"CAT_027, CAT_024, CAT_021, CAT_038, CAT_217, CAT_165",108,42
4635,"CAT_208, CAT_119, CAT_005, CAT_098, CAT_006",126,50
4636,"CAT_097, CAT_123, CAT_189, CAT_086, CAT_202, CAT_082",115,51
4637,"CAT_025, CAT_046, CAT_104, CAT_085",137,55
4638,"CAT_147, CAT_090, CAT_057, CAT_205",138,56
4639,"CAT_209, CAT_222, CAT_125, CAT_167, CAT_090, CAT_014",113,41
4640,"CAT_041, CAT_221, CAT_111, CAT_137, CAT_017, CAT_027",103,39
4641,"CAT_017, CAT_065, CAT_214, CAT_186",116,43
4642,"CAT_061, CAT_202, CAT_161, CAT_085, CAT_103",122,42
4643,"CAT_033, CAT_114, CAT_145, CAT_196, CAT_042",94,35
4644,"CAT_039, CAT_017, CAT_092, CAT_131, CAT_088, CAT_194",101,38
4645,"CAT_002, CAT_069, CAT_084, CAT_149, CAT_030",120,51
4646,"CAT_207, CAT_148, CAT_191, CAT_028, CAT_087",104,33
4647,"CAT_215, CAT_126, CAT_087, CAT_016, CAT_217, CAT_030",112,46
4648,"CAT_086, CAT_218, CAT_018, CAT_067, CAT_022",127,52
4649,"CAT_143, CAT_148, CAT_040, CAT_210, CAT_108",115,54
4650,"CAT_044, CAT_200, CAT_049, CAT_024",134,44
4651,"CAT_087, CAT_004, CAT_067, CAT_207",137,43
4652,"CAT_179, CAT_146, CAT_075, CAT_016",101,38
4653,"CAT_125, CAT_030, CAT_021, CAT_112, CAT_140, CAT_175",149,62
4654,"CAT_120, CAT_026, CAT_045, CAT_189, CAT_182, CAT_174",104,32
4655,"CAT_153, CAT_034, CAT_202, CAT_024",119,47
4656,"CAT_182, CAT_012, CAT_212, CAT_171",104,49
4657,"CAT_036, CAT_205, CAT_068, CAT_052",103,37
4658,"CAT_183, CAT_063, CAT_074, CAT_034, CAT_004, CAT_008",130,51
4659,"CAT_137, CAT_202, CAT_125, CAT_100",118,53
4660,"CAT_007, CAT_044, CAT_055, CAT_115, CAT_137",127,58
4661,"CAT_151, CAT_183, CAT_163, CAT_029, CAT_038, CAT_131",121,41
4662,"CAT_076, CAT_029, CAT_051, CAT_115",113,44
4663,"CAT_122, CAT_108, CAT_094, CAT_051, CAT_195, CAT_098",153,56
4664,"CAT_139, CAT_166, CAT_175, CAT_213, CAT_053, CAT_094",140,64
4665,"CAT_055, CAT_182, CAT_021, CAT_127, CAT_178, CAT_209",137,56
4666,"CAT_012, CAT_037, CAT_150, CAT_146",105,43
4667,"CAT_150, CAT_124, CAT_101, CAT_166, CAT_000, CAT_169",106,32
4668,"CAT_107, CAT_157, CAT_208, CAT_127, CAT_085, CAT_086",132,56
4669,"CAT_214, CAT_073, CAT_177, CAT_024, CAT_005, CAT_068",126,43
4670,"CAT_175, CAT_103, CAT_076, CAT_183, CAT_040, CAT_200",100,33
4671,"CAT_135, CAT_057, CAT_065, CAT_085",122,53
4672,"CAT_084, CAT_177, CAT_186, CAT_130",132,45
4673,"CAT_198, CAT_110, CAT_092, CAT_193",126,49
4674,"CAT_043, CAT_151, CAT_221, CAT_186, CAT_142, CAT_005",119,53
4675,"CAT_123, CAT_033, CAT_064, CAT_154, CAT_153, CAT_112",124,55
4676,"CAT_162, CAT_050, CAT_081, CAT_098, CAT_134",118,47
4677,"CAT_033, CAT_095, CAT_122, CAT_190, CAT_063",101,31
4678,"CAT_077, CAT_124, CAT_222, CAT_199, CAT_206",129,46
4679,"CAT_170, CAT_202, CAT_067, CAT_042",123,48
4680,"CAT_209, CAT_057, CAT_107, CAT_126, CAT_055, CAT_113",103,42
4681,"CAT_152, CAT_164, CAT_093, CAT_060, CAT_094",136,51
4682,"CAT_166, CAT_123, CAT_115, CAT_145, CAT_212",145,57
4683,"CAT_160, CAT_015, CAT_117, CAT_022",120,51
